-86,41,-32,-3,-30,-25
-86,30,44,-70,-43,-29
19,-48,16,38,-52,-68
-82,-43,8,23,-64,100
7,80,-57,85,-37,-88
-100,76,17,-15,75,-26
-72,76,77,84,100,-46
-53,-70,-46,27,-69,26
59,-34,-63,-33,14,-79
2,-27,-48,20,3,24
7,-3,81,44,-32,-49
-64,42,-54,-62,-1,-93
6,-86,-62,-65,-3,100
55,-11,-57,36,35,-12
-91,-71,65,-15,-87,19
-45,39,75,53,0,80
-3,38,-21,25,-79,36
25,-18,-62,-72,7,-23
33,-39,-45,-97,85,-39
65,-30,87,-42,-24,-4
19,38,27,7,11,71
72,-1,100,-30,55,-59
-69,-46,8,63,-31,-84
-36,1,19,-100,-61,93
-24,59,-13,50,-30,73
69,41,53,80,47,-53
57,7,53,27,-26,-23
-64,-49,-50,16,5,-18
-92,-43,12,60,16,65
46,-54,-32,73,16,-69
-69,-55,-92,-10,93,21
95,-72,-75,72,66,-95
24,41,-91,-24,-78,38
36,-84,-95,69,30,-62
74,66,-11,10,-25,78
71,-12,-39,-9,-17,-14
-10,83,-65,63,-21,-57
31,82,-38,67,30,-55
42,-73,-99,27,6,-20
-53,-53,-46,55,58,-67
-56,-88,-87,-100,-33,18
-77,100,-6,-63,-78,-3
-60,99,85,-47,4,-94
-11,-9,-34,50,-42,89
-64,88,40,-98,28,72
38,34,-74,-18,-91,-90
28,42,96,-55,14,93
74,-11,62,43,-82,-44
72,-34,45,-77,-41,-43
80,-12,-81,50,28,-44
-63,-94,21,52,-74,-75
-89,-46,94,-9,53,45
-71,91,-50,24,7,15
82,-36,-47,-73,-56,31
-32,93,41,69,-33,17
51,-80,38,-26,40,84
75,-22,-51,-72,-32,-37
74,11,99,-44,25,95
11,0,81,-82,36,-32
70,-83,-95,13,97,25
94,-12,-24,-88,60,-100
25,30,8,-46,-53,41
-30,-83,22,1,98,47
-46,-99,-54,-88,-65,67
-36,73,74,-70,13,63
-13,42,-76,39,-33,41
-4,-85,-19,83,-97,-59
-35,57,54,-96,46,92
7,67,7,8,45,-13
-12,-92,83,97,57,64
-69,89,-70,11,20,-80
-33,-6,-65,46,95,25
-78,43,41,46,-7,34
-82,54,50,-13,-99,-82
16,-50,96,-67,46,90
81,54,74,55,-80,84
90,-47,-45,12,-41,-74
-29,69,19,68,-23,99
84,-92,83,-79,-88,67
6,-5,75,13,-6,-48
-75,59,11,-51,35,38
-33,20,8,2,-98,25
-60,-2,-14,-84,-58,63
17,-46,74,-73,19,94
62,58,35,-97,23,-30
-50,-40,-8,-92,-58,-5
-61,57,0,72,40,37
71,-91,68,72,44,-86
-24,-74,-32,-52,-7,36
22,82,57,-22,48,59
-76,-10,6,-89,-98,41
16,93,55,5,88,-24
89,-63,34,-62,93,46
28,-62,-76,-58,19,41
79,3,-22,-91,50,-17
31,45,95,92,14,77
79,-94,24,65,-31,65
-99,83,-74,-67,80,-92
79,55,-16,32,91,-23
-73,57,64,88,21,-93
-26,87,30,-88,62,-82
1,-34,19,71,18,88
7,-91,-75,8,-56,50
7,-14,77,75,80,25
61,11,-52,-9,-96,-19
-52,-83,-10,-21,-68,79
51,-82,5,-16,24,63
-72,-85,92,-99,31,57
35,-28,-100,-94,63,48
-57,35,77,100,-72,-92
91,74,44,-67,82,-62
-65,-44,40,32,99,-42
49,-42,-43,78,-88,87
-36,-33,-30,94,0,-4
-34,-55,-10,24,70,21
-31,-38,84,67,100,78
-26,3,84,-97,-100,-17
39,34,41,36,49,93
76,-95,-27,48,85,-30
-70,52,-80,53,33,-42
16,-7,-22,37,18,-70
40,27,17,92,74,-67
86,69,16,51,54,-100
32,-1,-51,29,-91,40
-79,78,-32,-34,72,-58
-47,95,93,57,48,84
-41,16,-7,-100,86,14
-71,55,50,54,29,-85
-63,47,-80,-1,5,-51
3,11,-87,91,7,21
-57,10,32,37,-46,-16
-90,10,96,-24,24,39
-39,-10,-80,-62,26,19
34,90,64,-52,-35,37
30,-35,85,-30,-92,80
-67,-53,45,78,27,-41
66,28,-31,-31,-70,80
-24,-47,-53,100,25,-1
-24,-41,7,37,75,31
-19,86,60,-13,36,-26
28,-28,-32,-74,88,-64
83,23,44,36,-40,69
-8,-81,-53,43,20,43
-26,-37,-94,-48,66,-80
-92,45,0,49,73,59
-8,24,-86,-14,-60,95
6,4,45,-37,18,-63
-66,14,-69,-88,-43,31
-81,-28,14,93,29,38
-12,19,-33,-74,99,-72
57,-62,-18,-11,93,-41
11,20,0,58,59,-89
5,-50,81,-98,-47,-83
6,-26,-17,-21,75,51
95,-73,78,-33,25,66
75,71,-53,-14,28,59
83,47,-9,-13,31,9
36,-79,-92,45,-59,-53
75,8,43,28,26,-94
10,90,70,81,-75,-43
16,-49,-61,41,72,-23
6,91,98,50,-9,7
60,76,87,-47,95,-30
13,-5,-93,53,-22,-71
79,83,-84,-57,40,92
66,-59,95,-39,-100,-97
-56,-31,-6,-84,-90,13
72,81,-99,27,-83,-37
-45,-69,-99,6,-94,-3
15,15,94,-53,-39,43
34,61,23,-64,-32,100
22,34,91,-38,-24,-87
4,94,-29,-72,62,52
-2,93,6,-26,-30,72
-83,80,-53,97,99,79
80,95,40,-78,46,-13
67,22,80,39,44,18
-40,32,-42,-13,-16,-29
42,-72,-97,-38,-24,-42
-51,27,95,-36,-44,78
-12,-80,-97,31,67,75
-10,-33,-94,-26,83,44
35,91,-13,-85,45,53
90,29,-16,18,-10,30
-8,2,16,-78,23,53
-53,24,35,-54,51,50
-48,-24,-66,-19,29,-47
-24,-62,-34,34,9,52
-33,20,74,68,98,78
-50,52,-71,-7,54,41
73,46,44,5,64,94
39,-19,44,-69,-59,59
-26,78,-15,-14,25,9
-81,49,38,-21,4,24
11,-58,90,-67,-73,5
-2,41,-45,-13,-95,-22
41,-83,51,80,-87,3
32,71,60,71,-85,-18
72,-92,74,-58,18,-54
16,-8,-52,52,-51,-3
37,-9,29,74,41,86
27,-60,40,80,-39,-4
89,64,-44,-25,-5,-40
-31,-37,66,92,-9,40
-95,91,-16,-83,-38,96
-45,-44,85,69,80,-36
57,4,12,37,50,45
-46,23,14,-76,-37,-76
-72,2,-79,80,-36,25
96,31,-37,86,90,96
-26,-30,-33,18,85,41
-4,-3,-14,-77,-35,-88
93,38,62,-96,49,-72
-8,-98,44,-54,-18,-82
51,60,-19,-90,-32,-39
6,8,80,89,23,-45
53,55,-9,-17,79,74
-15,-93,-2,61,88,26
-73,52,1,-78,-97,88
96,41,98,36,-50,-86
-76,14,50,23,77,83
35,32,-16,59,-9,-68
-81,-15,-87,-81,-11,-48
-85,80,-86,-44,-12,59
-31,21,54,5,84,-6
-74,-58,85,-31,81,97
91,-46,-37,-14,79,4
99,-47,52,1,57,-50
16,85,23,24,-66,39
32,-50,84,72,37,34
98,-92,-48,-72,97,-85
94,-15,-61,90,-57,59
-70,-45,26,-29,77,-26
-30,-79,64,71,100,77
-25,-81,97,10,90,-29
29,99,4,-89,-90,-81
-78,4,-60,17,83,32
56,-57,88,-70,19,83
38,60,36,-72,-11,-22
16,64,58,-18,57,-47
42,-60,48,-42,-45,-46
-8,-85,-64,-30,68,30
-32,5,-27,27,-75,40
3,33,99,-80,-61,-73
15,-62,-94,74,-67,-88
-90,-51,-47,-49,-34,54
-78,73,-78,-64,33,-60
-61,-7,-55,64,70,-50
-11,-50,18,68,54,-100
75,35,37,-30,95,-67
64,68,-94,50,-84,62
83,16,73,-16,-94,91
-31,94,16,68,-57,13
-24,-73,95,88,-81,-53
73,-43,-12,5,66,48
-12,85,-29,-92,61,-1
51,11,23,-24,62,14
34,100,80,39,2,46
35,-18,12,-98,58,-45
91,-14,79,-62,-52,-6
5,-3,-72,75,-25,-79
59,-88,27,-5,-21,10
-50,-97,87,54,-26,-98
-22,52,-11,44,20,-91
-93,8,87,-46,-22,-19
-48,100,91,-32,-58,-97
67,46,-31,63,-50,-5
59,63,-95,59,-50,-96
50,9,46,-24,77,-41
-26,38,-11,66,62,-89
41,-16,-96,-52,-42,54
-3,-61,74,29,2,50
70,47,-77,55,-94,-86
-17,-47,5,-13,-34,-36
-37,62,-67,-53,-80,4
-21,18,-37,-35,-42,26
76,-81,14,15,80,-53
19,-47,-82,-17,-11,8
-25,-40,23,45,60,-20
-90,31,33,84,-30,-29
-39,-88,40,79,-63,-2
77,-69,-21,55,51,-84
39,-33,-87,-78,17,100
61,-72,24,7,-56,54
-66,38,-50,52,-23,-16
-43,-49,52,-81,-59,5
-18,-88,-18,-34,-60,-27
90,-27,-35,29,41,10
-16,67,53,-68,-60,-100
-67,46,-97,13,-8,78
-84,-48,-33,100,80,-37
57,-90,-43,-8,-37,-23
46,-97,-43,98,56,-81
96,-65,-41,86,12,-40
-96,6,78,92,-57,-71
-39,-33,35,30,-72,-90
-58,17,-70,29,-77,19
-44,15,41,-27,15,61
17,81,-10,-43,-91,33
53,-18,69,52,-96,58
-16,-48,-83,-83,52,-92
25,-51,-50,-67,-48,-11
-95,94,53,29,-58,-23
48,-33,-94,-61,18,40
58,-41,17,-69,20,-20
-48,-89,77,-83,77,-43
-32,22,83,60,93,-16
57,42,-67,52,64,22
-56,70,-1,31,62,-86
